"date","shours_u","shours_a","qhours_u","qhours_a"
1979-01-01,12619432093.6923,12920654005.6697,28900346506.5836,29438751233.4551
1979-02-01,12696084286.2394,12948596971.9374,29270887140.1917,29500325510.6322
1979-03-01,12823325653.4322,12976539938.2051,29475280425.6978,29561899787.8094
1979-04-01,12880928021.7415,13001724018.2144,29431014180.6889,29619262776.7708
1979-05-01,12997504773.4647,13026908098.2238,29472899509.3168,29676625765.7323
1979-06-01,13284209330.5372,13048993100.4186,29927451681.5017,29729098402.9047
1979-07-01,13385282811.6086,13071078102.6134,30040740942.8001,29781571040.0771
1979-08-01,13403221173.5922,13092068466.67,30049583169.4932,29833063877.4217
1979-09-01,13170410346.7802,13113058830.7265,30010622426.34,29884556714.7663
1979-10-01,13177708413.9201,13122093163.0246,30349129216.6732,29917408086.1001
1979-11-01,13094223561.3895,13131127495.3228,30030479800.7421,29950259457.4339
1979-12-01,13036476163.286,13115964449.3758,29880765698.7229,29946378071.8353
1980-01-01,12799579491.4514,13100801403.4288,29404091959.3651,29942496686.2366
1980-02-01,12826937925.7794,13079450611.4774,29698947815.1234,29928386185.5639
1980-03-01,12904885534.753,13058099819.526,29827656322.7797,29914275684.8913
1980-04-01,12918486665.0652,13039282661.5381,29714194237.9073,29902442833.9892
1980-05-01,12991062178.7912,13020465503.5503,29686883726.6717,29890609983.0872
1980-06-01,13242433946.9263,13007217716.8077,30093616144.2297,29895262865.6327
1980-07-01,13308174639.0602,12993969930.0651,30159085650.9013,29899915748.1783
1980-08-01,13302764663.2711,12991611956.3488,30151183812.2993,29934664520.2278
1980-09-01,13046605498.6861,12989253982.6324,30095479003.851,29969413292.2773
1980-10-01,13055323488.5366,12999708237.6411,30459983649.7606,30028262519.1875
1980-11-01,12973258558.7164,13010162492.6497,30167332089.4059,30087111746.0977
1980-12-01,12951087104.3234,13030575390.4132,30098986542.6985,30164598915.8109
1981-01-01,12749766376.1992,13050988288.1767,29703681358.6526,30242086085.5241
1981-02-01,12820999923.8069,13073512609.505,30097032857.6871,30326471228.1276
1981-03-01,12942822646.0603,13096036930.8333,30324237008.6196,30410856370.7312
1981-04-01,12991633624.2996,13112429620.7725,30300202840.2243,30488451436.3062
1981-05-01,13099418985.9526,13128822310.7117,30362320245.4656,30566046501.8811
1981-06-01,13366338005.9291,13131121775.8105,30816232545.178,30617879266.581
1981-07-01,13447625949.9043,13133421240.9092,30928881934.0039,30669712031.2809
1981-08-01,13432220711.1538,13121068004.2315,30912141219.1976,30695621927.1261
1981-09-01,13166066283.6075,13108714767.5538,30847597534.5451,30721531822.9714
1981-10-01,13138670319.8159,13083055068.9204,31160223975.1128,30728502844.5397
1981-11-01,13020491436.3537,13057395370.287,30815694209.4163,30735473866.108
1981-12-01,12945474981.9778,13024963268.0676,30678411781.4316,30744024154.544
1982-01-01,12691309253.8707,12992531165.8482,30214169716.1084,30752574442.9799
1982-02-01,12711638096.6037,12964150782.3017,30533989373.1294,30763427743.57
1982-03-01,12782556113.9823,12935770398.7552,30687661682.0484,30774281044.16
1982-04-01,12794148632.8232,12914944629.2961,30592766474.494,30781015070.5759
1982-05-01,12864715535.0779,12894118859.837,30584022840.5763,30787749096.9918
1982-06-01,13111591136.0108,12876374905.8922,30991962205.4007,30793608926.8038
1982-07-01,13172835660.9424,12858630951.9473,31058638659.3387,30799468756.6157
1982-08-01,13151622138.9531,12840469432.0308,31020936690.9521,30804417398.8807
1982-09-01,12879659428.168,12822307912.1143,30935431752.7193,30809366041.1456
1982-10-01,12861129264.0292,12805514013.1336,31245949101.1277,30814227970.5547
1982-11-01,12751816180.2197,12788720114.153,30899310243.2719,30819089899.9637
1982-12-01,12707630442.9185,12787118729.0083,30792804664.991,30858417038.1034
1983-01-01,12484295431.8862,12785517343.8636,30359339449.3715,30897744176.243
1983-02-01,12554538001.8216,12807050687.5197,30767624674.9767,30997063045.4173
1983-03-01,12675369746.4027,12828584031.1757,31009762552.48,31096381914.5916
1983-04-01,12750499517.4969,12871295513.9698,31056186474.4142,31244435070.4961
1983-05-01,12884603672.0048,12914006996.7639,31188761969.9851,31392488226.4006
1983-06-01,13208874222.9398,12973657992.8212,31764114162.544,31565760883.9471
1983-07-01,13347513697.8736,13033308988.8785,31998203444.2166,31739033541.4936
1983-08-01,13413934797.1565,13102782090.2342,32141300575.5989,31924781283.5274
1983-09-01,13229606707.6436,13172255191.5899,32236594737.1349,32110529025.5612
1983-10-01,13295269683.6279,13239654432.7324,32717325868.1361,32285604737.563
1983-11-01,13270149739.9416,13307053673.8748,32540900792.873,32460680449.5648
1983-12-01,13291626016.4859,13371114302.5757,32564648409.0755,32630260782.1879
1984-01-01,13133953019.2991,13435174931.2766,32261436387.9396,32799841114.8111
1984-02-01,13244330074.1331,13496842759.8312,32742157680.0239,32971596050.4645
1984-03-01,13405296303.6128,13558510588.3858,33056731624.0063,33143350986.1179
1984-04-01,13497458465.9152,13618254462.3881,33127534830.9192,33315783427.0011
1984-05-01,13648595011.6314,13677998336.3905,33284489611.4687,33488215867.8842
1984-06-01,13968463857.515,13733247627.3964,33846786940.1046,33648433661.5077
1984-07-01,14102701627.3974,13788496918.4022,34067821357.8541,33808651455.1311
1984-08-01,14148961970.4759,13837809263.5536,34169135752.2835,33952616460.212
1984-09-01,13944473124.7587,13887121608.705,34222647176.8666,34096581465.293
1984-10-01,13981998638.1998,13926383387.3043,34651490550.1516,34219769419.5785
1984-11-01,13928741231.9704,13965645165.9037,34423177717.1723,34342957373.8641
1984-12-01,13918133306.5657,13997621592.6555,34389334047.8066,34454946420.919
1985-01-01,13728376107.4298,14029598019.4073,34028530741.1023,34566935467.9738
1985-02-01,13810793200.1227,14063305885.8208,34451357361.7517,34680795732.1923
1985-03-01,13943799467.4613,14097013752.2343,34708036634.2991,34794655996.4107
1985-04-01,14009387463.9508,14130183460.4238,34712175776.4439,34900424372.5258
1985-05-01,14133949843.8541,14163353168.6132,34802466492.2253,35006192748.6408
1985-06-01,14430124992.9102,14194908762.7916,35309136167.6192,35110782889.0223
1985-07-01,14540669065.9651,14226464356.97,35474542932.1267,35215373029.4037
